DE-950;SWB;HFWU;Nürtingen;Hochschulbibliothek der Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen
DE-Ofb1;SWB;FHBOG;Offenburg;Bibliothek der Hochschule Offenburg
DE-715;GBV;BISOL;Oldenburg;Bibliotheks- und Informationssystem der Universität Oldenburg
DE-45;GBV;LBO;Oldenburg;Landesbibliothek Oldenburg
DE-959;GBV;FHOS;Osnabrück;Hochschule Osnabrück, Bibliothek
DE-700;GBV;UBOS;Osnabrück;Universitätsbibliothek Osnabrück
DE-466;HBZ;UBPB;Paderborn;Universitätsbibliothek Paderborn
DE-739;BVB;UBPA;Passau;Universitätsbibliothek Passau
DE-951;SWB;;Pforzheim;Hochschulbibliothek Pforzheim
DE-Pl11;SWB;BAPL;Plauen;Bibliothek der Staatlichen Studienakademie
DE-Po82;GBV;ZZFPD;Potsdam;Bibliothek des Zentrums für Zeithistorische Forschung e.V.
DE-Po75;KOBV;HFFP;Potsdam;Filmuniversität Babelsberg Konrad Wolf
DE-525;KOBV;FHPO;Potsdam;Hochschulbibliothek der Fachhochschule Potsdam
DE-517;GBV;UBPO;Potsdam;Universitätsbibliothek Potsdam
DE-Rav1;SWB;BARV;Ravensburg;Bibliothek der Dualen Hochschule Ravensburg
DE-898;BVB;FHBR;Regensburg;Hochschulbibliothek Ostbayerische Technische Hochschule Regensburg
DE-155;BVB;STABI;Regensburg;Staatliche Bibliothek Regensburg
DE-355;BVB;UBR;Regensburg;Universitätsbibliothek Regensburg
DE-Rt2;SWB;FHRT;Reutlingen;Hochschule Reutlingen, Lernzentrum
DE-Rs1;SWB;BARIE;Riesa;Bibliothek der Staatlichen Studienakademie Riesa, BA Sachsen
DE-861;BVB;FHBRO;Rosenheim;Hochschulbibliothek Rosenheim
DE-563;GBV;HMTRO;Rostock;Hochschule für Musik und Theater Rostock
DE-R133;;;Rostock;Max-Planck-Institut für demographische Forschung
DE-28;GBV;UBRO;Rostock;Universitätsbibliothek Rostock
DE-Sa16;SWB;HTWS;Saarbrücken;Hochschule für Technik und Wirtschaft des Saarlandes / Bibliothek
DE-291;SWB;SULB;Saarbrücken;Saarländische Universitäts- und Landesbibliothek
;;FHSA;Salzburg;Fachhochschule Salzburg Bibliothek
AT-UBMS-HB;OBV;UBMS;Salzburg;Universitätsbibliothek Mozarteum Salzburg
AT-UBS-HB;OBV;UBSBG;Salzburg;Universitätsbibliothek Salzburg
DE-Shm2;BGV;FHSM;Schmalkalden;Hochschule Schmalkalden / Bibliothek
DE-984;SWB;HFGG;Schwäbisch Gmünd;Hochschulbibliothek der Hochschule für Gestaltung Schwäbisch Gmünd
DE-752;SWB;PHGD;Schwäbisch Gmünd;Pädagogische Hochschule Schwäbisch Gmünd, Bibliothek
DE-33;GBV;LBMV;Schwerin;Landesbibliothek Mecklenburg-Vorpommern Schwerin
DE-467;HBZ;UBSI;Siegen;Universitätsbibliothek Siegen
DE-Sp3;SWB;DHV;Speyer;Bibliothek der Deutschen Universität für Verwaltungswissenschaften Speyer
;;;St. Gallen;Bibliothek der Universität St.Gallen, HSG
;;;St. Gallen;PHSG, medienverbund.phsg
;;;St. Pölten;Fachhochschule St. Pölten
DE-Sra5;GBV;FHSTR;Stralsund;Hochschulbibliothek Stralsund
DE-Stg259;SWB;BAS;Stuttgart;Duale Hochschule Baden-Württemberg Stuttgart
DE-958;SWB;HDM;Stuttgart;Hochschule der Medien
DE-1033;SWB;HFTS;Stuttgart;Hochschule für Technik Stuttgart
DE-93;SWB;UBS;Stuttgart;Universitätsbibliothek Stuttgart
